Name,Date,Rate,Votes,Genre,Duration,Type
The Boys,2021,8.7,"316,047","Action, Crime, Drama",60,Series
Ridley Road,2021,6.6,704,Thriller,None,Series
Vikings,2021,8.5,"472,761","Action, Adventure, Drama",44,Series
Spider-Man: No Way Home,2021,No Rate,No Votes,"Action, Adventure, Sci-Fi",None,Film
Silent Witness,2021,7.8,"7,917","Crime, Drama, Mystery",120,Series
Ghosts,2021,7.0,"1,343","Comedy, Fantasy",None,Series
The Card Counter,2021,6.2,"9,236","Crime, Drama, Thriller",111,Film
Lamb,2021,6.7,"2,251","Drama, Horror, Mystery",106,Film
Midsomer Murders,2021,7.8,"28,198","Crime, Drama, Mystery",90,Series
Rick and Morty,2021,9.2,"436,882","Animation, Adventure, Comedy",23,Series
After We Fell,2021,5.0,"2,719",Drama,98,Film
Riverdale,2021,6.7,"130,524","Crime, Drama, Mystery",45,Series


