Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Director,
The Great Dictator,1940,Passed,125 min,"Comedy, Drama, War",8.4,Charles Chaplin,
1917,2019,R,119 min,"Drama, Thriller, War",8.3,Sam Mendes,
Tumbbad,2018,A,104 min,"Drama, Fantasy, Horror",8.3,Rahi Anil Barve,
Andhadhun,2018,UA,139 min,"Crime, Drama, Music",8.3,Sriram Raghavan,
Drishyam,2013,U,160 min,"Crime, Drama, Thriller",8.3,Jeethu Joseph,
Jagten,2012,R,115 min,Drama,8.3,Thomas Vinterberg,
Jodaeiye Nader az Simin,2011,PG-13,123 min,Drama,8.3,Asghar Farhadi,
Incendies,2010,R,131 min,"Drama, Mystery, War",8.3,Denis Villeneuve,
Miracle in cell NO.7,2019,TV-14,132 min,Drama,8.3,Mehmet Ada Öztekin,
Babam ve Oglum,2005,,112 min,"Drama, Family",8.3,Çagan Irmak,
Inglourious Basterds,2009,A,153 min,"Adventure, Drama, War",8.3,Quentin Tarantino,
Eternal Sunshine of the Spotless Mind,2004,UA,108 min,"Drama, Romance, Sci-Fi",8.3,Michel Gondry,
Amélie,2001,U,122 min,"Comedy, Romance",8.3,Jean-Pierre Jeunet,
Snatch,2000,UA,104 min,"Comedy, Crime",8.3,Guy Ritchie,
Requiem for a Dream,2000,A,102 min,Drama,8.3,Darren Aronofsky,
American Beauty,1999,UA,122 min,Drama,8.3,Sam Mendes,
