tconst,originalTitle,startYear,runtimeMinutes,Genre,Director,Writer,Actor
Id,14.4,0.8400000000000003,0,0,0,2.04,0.8999999999999999,0.0
Name,0.8400000000000003,12.0,0,0,0,3.12,0.0,0.0
Year,0.0,0.0,0,0,0,0.0,0.0,0.0
Release Date,0.0,0.0,0,0,0,0.0,0.0,0.0
Duration,0.0,0.0,0,0,0,0.0,0.0,0.0
newDirector,1.3,0.0,0,0,0,60.0,5.0,0.0
newCreator,1.3,0.0,0,0,0,0.0,5.0,0.0
newActors,0.7999999999999998,0.0,0,0,0,0.0,0.0,54.7
newGenre,0.0,0.0,0,0,0,0.0,0.0,0.0
