tconst,originalTitle,startYear,runtimeMinutes,Genre,Director,Writer,Actor
tt0075807,Candleshoe,1977,101,Adventure,Norman Tokar,David Swift,Jodie Foster
tt0075807,Candleshoe,1977,101,Comedy,Norman Tokar,David Swift,Jodie Foster
tt0075807,Candleshoe,1977,101,Drama,Norman Tokar,David Swift,Jodie Foster
tt0075807,Candleshoe,1977,101,Adventure,Norman Tokar,Michael Innes,Jodie Foster
tt0075807,Candleshoe,1977,101,Comedy,Norman Tokar,Michael Innes,Jodie Foster
tt0075807,Candleshoe,1977,101,Drama,Norman Tokar,Michael Innes,Jodie Foster
tt0094608,The Accused,1988,111,Crime,Jonathan Kaplan,Tom Topor,Jodie Foster
tt0094608,The Accused,1988,111,Drama,Jonathan Kaplan,Tom Topor,Jodie Foster
tt0102926,The Silence of the Lambs,1991,118,Crime,Jonathan Demme,Thomas Harris,Jodie Foster
tt0102926,The Silence of the Lambs,1991,118,Drama,Jonathan Demme,Thomas Harris,Jodie Foster
tt0102926,The Silence of the Lambs,1991,118,Thriller,Jonathan Demme,Thomas Harris,Jodie Foster
tt0102926,The Silence of the Lambs,1991,118,Crime,Jonathan Demme,Ted Tally,Jodie Foster
tt0102926,The Silence of the Lambs,1991,118,Drama,Jonathan Demme,Ted Tally,Jodie Foster
tt0102926,The Silence of the Lambs,1991,118,Thriller,Jonathan Demme,Ted Tally,Jodie Foster
tt0087428,The Hotel New Hampshire,1984,109,Comedy,Tony Richardson,Tony Richardson,Jodie Foster
tt0087428,The Hotel New Hampshire,1984,109,Drama,Tony Richardson,Tony Richardson,Jodie Foster
tt0087428,The Hotel New Hampshire,1984,109,Comedy,Tony Richardson,John Irving,Jodie Foster
tt0087428,The Hotel New Hampshire,1984,109,Drama,Tony Richardson,John Irving,Jodie Foster
tt0118884,Contact,1997,150,Drama,Robert Zemeckis,James V. Hart,Jodie Foster
tt0118884,Contact,1997,150,Mystery,Robert Zemeckis,James V. Hart,Jodie Foster
tt0118884,Contact,1997,150,Sci-Fi,Robert Zemeckis,James V. Hart,Jodie Foster
tt0118884,Contact,1997,150,Drama,Robert Zemeckis,Michael Goldenberg,Jodie Foster
tt0118884,Contact,1997,150,Mystery,Robert Zemeckis,Michael Goldenberg,Jodie Foster
tt0118884,Contact,1997,150,Sci-Fi,Robert Zemeckis,Michael Goldenberg,Jodie Foster
