tconst,originalTitle,startYear,runtimeMinutes,Genre,Director,Writer,Actor
tt1446714,Prometheus,2012,124,Sci-Fi,Ridley Scott,Ronald Shusett,Charlize Theron
tt1446714,Prometheus,2012,124,Sci-Fi,Ridley Scott,Ronald Shusett,Noomi Rapace
tt1446714,Prometheus,2012,124,Sci-Fi,Ridley Scott,Ronald Shusett,Michael Fassbender
tt1446714,Prometheus,2012,124,Sci-Fi,Ridley Scott,Ronald Shusett,Logan Marshall-Green
tt1446714,Prometheus,2012,124,Adventure,Ridley Scott,Dan O'Bannon,Charlize Theron
tt1446714,Prometheus,2012,124,Adventure,Ridley Scott,Dan O'Bannon,Noomi Rapace
tt1446714,Prometheus,2012,124,Adventure,Ridley Scott,Dan O'Bannon,Michael Fassbender
tt1446714,Prometheus,2012,124,Adventure,Ridley Scott,Dan O'Bannon,Logan Marshall-Green
tt1446714,Prometheus,2012,124,Mystery,Ridley Scott,Dan O'Bannon,Charlize Theron
tt1446714,Prometheus,2012,124,Mystery,Ridley Scott,Dan O'Bannon,Noomi Rapace
tt1446714,Prometheus,2012,124,Mystery,Ridley Scott,Dan O'Bannon,Michael Fassbender
tt1446714,Prometheus,2012,124,Mystery,Ridley Scott,Dan O'Bannon,Logan Marshall-Green
tt1446714,Prometheus,2012,124,Sci-Fi,Ridley Scott,Dan O'Bannon,Charlize Theron
tt1446714,Prometheus,2012,124,Sci-Fi,Ridley Scott,Dan O'Bannon,Noomi Rapace
tt1446714,Prometheus,2012,124,Sci-Fi,Ridley Scott,Dan O'Bannon,Michael Fassbender
tt1446714,Prometheus,2012,124,Sci-Fi,Ridley Scott,Dan O'Bannon,Logan Marshall-Green
tt1446714,Prometheus,2012,124,Adventure,Ridley Scott,Jon Spaihts,Charlize Theron
tt1446714,Prometheus,2012,124,Adventure,Ridley Scott,Jon Spaihts,Noomi Rapace
tt1446714,Prometheus,2012,124,Adventure,Ridley Scott,Jon Spaihts,Michael Fassbender
tt1446714,Prometheus,2012,124,Adventure,Ridley Scott,Jon Spaihts,Logan Marshall-Green
tt1446714,Prometheus,2012,124,Mystery,Ridley Scott,Jon Spaihts,Charlize Theron
tt1446714,Prometheus,2012,124,Mystery,Ridley Scott,Jon Spaihts,Noomi Rapace
tt1446714,Prometheus,2012,124,Mystery,Ridley Scott,Jon Spaihts,Michael Fassbender
tt1446714,Prometheus,2012,124,Mystery,Ridley Scott,Jon Spaihts,Logan Marshall-Green
tt1446714,Prometheus,2012,124,Sci-Fi,Ridley Scott,Jon Spaihts,Charlize Theron
tt1446714,Prometheus,2012,124,Sci-Fi,Ridley Scott,Jon Spaihts,Noomi Rapace
tt1446714,Prometheus,2012,124,Sci-Fi,Ridley Scott,Jon Spaihts,Michael Fassbender
tt1446714,Prometheus,2012,124,Sci-Fi,Ridley Scott,Jon Spaihts,Logan Marshall-Green
tt1446714,Prometheus,2012,124,Adventure,Ridley Scott,Damon Lindelof,Charlize Theron
tt1446714,Prometheus,2012,124,Adventure,Ridley Scott,Damon Lindelof,Noomi Rapace
tt1446714,Prometheus,2012,124,Adventure,Ridley Scott,Damon Lindelof,Michael Fassbender
tt1446714,Prometheus,2012,124,Adventure,Ridley Scott,Damon Lindelof,Logan Marshall-Green
tt1446714,Prometheus,2012,124,Mystery,Ridley Scott,Damon Lindelof,Charlize Theron
tt1446714,Prometheus,2012,124,Mystery,Ridley Scott,Damon Lindelof,Noomi Rapace
tt1446714,Prometheus,2012,124,Mystery,Ridley Scott,Damon Lindelof,Michael Fassbender
tt1446714,Prometheus,2012,124,Mystery,Ridley Scott,Damon Lindelof,Logan Marshall-Green
tt1446714,Prometheus,2012,124,Sci-Fi,Ridley Scott,Damon Lindelof,Charlize Theron
tt1446714,Prometheus,2012,124,Sci-Fi,Ridley Scott,Damon Lindelof,Noomi Rapace
tt1446714,Prometheus,2012,124,Sci-Fi,Ridley Scott,Damon Lindelof,Michael Fassbender
tt1446714,Prometheus,2012,124,Sci-Fi,Ridley Scott,Damon Lindelof,Logan Marshall-Green
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,Ronald Shusett,Billy Crudup
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,Ronald Shusett,Michael Fassbender
tt2316204,Alien: Covenant,2017,122,Horror,Ridley Scott,Ronald Shusett,Danny McBride
