tconst,originalTitle,startYear,runtimeMinutes,Genre,Director,Writer,Actor
tt0190590,"O Brother, Where Art Thou?",2000,107,Crime,Ethan Coen,Ethan Coen,George Clooney
tt0190590,"O Brother, Where Art Thou?",2000,107,Adventure,Joel Coen,Ethan Coen,George Clooney
tt0190590,"O Brother, Where Art Thou?",2000,107,Comedy,Joel Coen,Ethan Coen,George Clooney
tt0190590,"O Brother, Where Art Thou?",2000,107,Crime,Joel Coen,Ethan Coen,George Clooney
tt0190590,"O Brother, Where Art Thou?",2000,107,Adventure,Ethan Coen,Joel Coen,George Clooney
tt0190590,"O Brother, Where Art Thou?",2000,107,Comedy,Ethan Coen,Joel Coen,George Clooney
tt0190590,"O Brother, Where Art Thou?",2000,107,Crime,Ethan Coen,Joel Coen,George Clooney
tt0190590,"O Brother, Where Art Thou?",2000,107,Adventure,Joel Coen,Joel Coen,George Clooney
tt0190590,"O Brother, Where Art Thou?",2000,107,Comedy,Joel Coen,Joel Coen,George Clooney
tt0190590,"O Brother, Where Art Thou?",2000,107,Crime,Joel Coen,Joel Coen,George Clooney
tt0134119,The Talented Mr. Ripley,1999,139,Crime,Anthony Minghella,Patricia Highsmith,Matt Damon
tt0134119,The Talented Mr. Ripley,1999,139,Drama,Anthony Minghella,Patricia Highsmith,Matt Damon
tt0134119,The Talented Mr. Ripley,1999,139,Thriller,Anthony Minghella,Patricia Highsmith,Matt Damon
tt0134119,The Talented Mr. Ripley,1999,139,Crime,Anthony Minghella,Anthony Minghella,Matt Damon
tt0134119,The Talented Mr. Ripley,1999,139,Drama,Anthony Minghella,Anthony Minghella,Matt Damon
tt0134119,The Talented Mr. Ripley,1999,139,Thriller,Anthony Minghella,Anthony Minghella,Matt Damon
tt1403865,True Grit,2010,110,Drama,Ethan Coen,Charles Portis,Matt Damon
tt1403865,True Grit,2010,110,Western,Ethan Coen,Charles Portis,Matt Damon
tt1403865,True Grit,2010,110,Drama,Joel Coen,Charles Portis,Matt Damon
tt1403865,True Grit,2010,110,Western,Joel Coen,Charles Portis,Matt Damon
tt1403865,True Grit,2010,110,Drama,Ethan Coen,Ethan Coen,Matt Damon
tt1403865,True Grit,2010,110,Western,Ethan Coen,Ethan Coen,Matt Damon
tt1403865,True Grit,2010,110,Drama,Joel Coen,Ethan Coen,Matt Damon
tt1403865,True Grit,2010,110,Western,Joel Coen,Ethan Coen,Matt Damon
tt1403865,True Grit,2010,110,Drama,Ethan Coen,Joel Coen,Matt Damon
tt1403865,True Grit,2010,110,Western,Ethan Coen,Joel Coen,Matt Damon
tt1403865,True Grit,2010,110,Drama,Joel Coen,Joel Coen,Matt Damon
tt1403865,True Grit,2010,110,Western,Joel Coen,Joel Coen,Matt Damon
tt0120780,Out of Sight,1998,123,Comedy,Steven Soderbergh,Elmore Leonard,George Clooney
tt0120780,Out of Sight,1998,123,Crime,Steven Soderbergh,Elmore Leonard,George Clooney
tt0120780,Out of Sight,1998,123,Drama,Steven Soderbergh,Elmore Leonard,George Clooney
tt0120780,Out of Sight,1998,123,Comedy,Steven Soderbergh,Scott Frank,George Clooney
tt0120780,Out of Sight,1998,123,Crime,Steven Soderbergh,Scott Frank,George Clooney
tt0120780,Out of Sight,1998,123,Drama,Steven Soderbergh,Scott Frank,George Clooney
tt1950186,Ford v Ferrari,2019,152,Action,James Mangold,Jez Butterworth,Matt Damon
tt1950186,Ford v Ferrari,2019,152,Biography,James Mangold,Jez Butterworth,Matt Damon
tt1950186,Ford v Ferrari,2019,152,Drama,James Mangold,Jez Butterworth,Matt Damon
tt1950186,Ford v Ferrari,2019,152,Action,James Mangold,John-Henry Butterworth,Matt Damon
tt1950186,Ford v Ferrari,2019,152,Biography,James Mangold,John-Henry Butterworth,Matt Damon
tt1950186,Ford v Ferrari,2019,152,Drama,James Mangold,John-Henry Butterworth,Matt Damon
tt1950186,Ford v Ferrari,2019,152,Action,James Mangold,Jason Keller,Matt Damon
tt1950186,Ford v Ferrari,2019,152,Biography,James Mangold,Jason Keller,Matt Damon
tt1950186,Ford v Ferrari,2019,152,Drama,James Mangold,Jason Keller,Matt Damon
tt0432283,Fantastic Mr. Fox,2009,87,Adventure,Wes Anderson,Roald Dahl,George Clooney
tt0432283,Fantastic Mr. Fox,2009,87,Animation,Wes Anderson,Roald Dahl,George Clooney
tt0432283,Fantastic Mr. Fox,2009,87,Comedy,Wes Anderson,Roald Dahl,George Clooney
tt0432283,Fantastic Mr. Fox,2009,87,Adventure,Wes Anderson,Noah Baumbach,George Clooney
tt0432283,Fantastic Mr. Fox,2009,87,Animation,Wes Anderson,Noah Baumbach,George Clooney
tt0432283,Fantastic Mr. Fox,2009,87,Comedy,Wes Anderson,Noah Baumbach,George Clooney
tt0432283,Fantastic Mr. Fox,2009,87,Adventure,Wes Anderson,Wes Anderson,George Clooney
tt0432283,Fantastic Mr. Fox,2009,87,Animation,Wes Anderson,Wes Anderson,George Clooney
tt0432283,Fantastic Mr. Fox,2009,87,Comedy,Wes Anderson,Wes Anderson,George Clooney
tt0119978,The Rainmaker,1997,135,Crime,Francis Ford Coppola,Francis Ford Coppola,Matt Damon
tt0119978,The Rainmaker,1997,135,Drama,Francis Ford Coppola,Francis Ford Coppola,Matt Damon
tt0119978,The Rainmaker,1997,135,Thriller,Francis Ford Coppola,Francis Ford Coppola,Matt Damon
tt0119978,The Rainmaker,1997,135,Crime,Francis Ford Coppola,Michael Herr,Matt Damon
tt0119978,The Rainmaker,1997,135,Drama,Francis Ford Coppola,Michael Herr,Matt Damon
tt0119978,The Rainmaker,1997,135,Thriller,Francis Ford Coppola,Michael Herr,Matt Damon
tt0119978,The Rainmaker,1997,135,Crime,Francis Ford Coppola,John Grisham,Matt Damon
tt0119978,The Rainmaker,1997,135,Drama,Francis Ford Coppola,John Grisham,Matt Damon
tt0119978,The Rainmaker,1997,135,Thriller,Francis Ford Coppola,John Grisham,Matt Damon
tt0307479,Solaris,2002,99,Drama,Steven Soderbergh,Stanislaw Lem,George Clooney
tt0307479,Solaris,2002,99,Mystery,Steven Soderbergh,Stanislaw Lem,George Clooney
tt0307479,Solaris,2002,99,Romance,Steven Soderbergh,Stanislaw Lem,George Clooney
tt0307479,Solaris,2002,99,Drama,Steven Soderbergh,Steven Soderbergh,George Clooney
tt0307479,Solaris,2002,99,Mystery,Steven Soderbergh,Steven Soderbergh,George Clooney
tt0307479,Solaris,2002,99,Romance,Steven Soderbergh,Steven Soderbergh,George Clooney
tt0146984,The Legend of Bagger Vance,2000,126,Drama,Robert Redford,Steven Pressfield,Matt Damon
tt0146984,The Legend of Bagger Vance,2000,126,Fantasy,Robert Redford,Steven Pressfield,Matt Damon
tt0146984,The Legend of Bagger Vance,2000,126,Sport,Robert Redford,Steven Pressfield,Matt Damon
tt0146984,The Legend of Bagger Vance,2000,126,Drama,Robert Redford,Jeremy Leven,Matt Damon
tt0146984,The Legend of Bagger Vance,2000,126,Fantasy,Robert Redford,Jeremy Leven,Matt Damon
tt0146984,The Legend of Bagger Vance,2000,126,Sport,Robert Redford,Jeremy Leven,Matt Damon
tt0166813,Spirit: Stallion of the Cimarron,2002,83,Adventure,Kelly Asbury,John Fusco,Matt Damon
tt0166813,Spirit: Stallion of the Cimarron,2002,83,Animation,Kelly Asbury,John Fusco,Matt Damon
tt0166813,Spirit: Stallion of the Cimarron,2002,83,Drama,Kelly Asbury,John Fusco,Matt Damon
tt0166813,Spirit: Stallion of the Cimarron,2002,83,Adventure,Lorna Cook,John Fusco,Matt Damon
tt0166813,Spirit: Stallion of the Cimarron,2002,83,Animation,Lorna Cook,John Fusco,Matt Damon
tt0166813,Spirit: Stallion of the Cimarron,2002,83,Drama,Lorna Cook,John Fusco,Matt Damon
tt0166813,Spirit: Stallion of the Cimarron,2002,83,Adventure,Kelly Asbury,Michael Lucker,Matt Damon
tt0166813,Spirit: Stallion of the Cimarron,2002,83,Animation,Kelly Asbury,Michael Lucker,Matt Damon
tt0166813,Spirit: Stallion of the Cimarron,2002,83,Drama,Kelly Asbury,Michael Lucker,Matt Damon
tt0166813,Spirit: Stallion of the Cimarron,2002,83,Adventure,Lorna Cook,Michael Lucker,Matt Damon
tt0166813,Spirit: Stallion of the Cimarron,2002,83,Animation,Lorna Cook,Michael Lucker,Matt Damon
tt0166813,Spirit: Stallion of the Cimarron,2002,83,Drama,Lorna Cook,Michael Lucker,Matt Damon
tt0105327,School Ties,1992,106,Drama,Robert Mandel,Darryl Ponicsan,Matt Damon
tt0105327,School Ties,1992,106,Drama,Robert Mandel,Dick Wolf,Matt Damon
tt0343737,The Good Shepherd,2006,167,Drama,Robert De Niro,Eric Roth,Matt Damon
tt0343737,The Good Shepherd,2006,167,History,Robert De Niro,Eric Roth,Matt Damon
tt0343737,The Good Shepherd,2006,167,Thriller,Robert De Niro,Eric Roth,Matt Damon
tt0372183,The Bourne Supremacy,2004,108,Action,Paul Greengrass,Robert Ludlum,Matt Damon
tt0372183,The Bourne Supremacy,2004,108,Mystery,Paul Greengrass,Robert Ludlum,Matt Damon
tt0372183,The Bourne Supremacy,2004,108,Thriller,Paul Greengrass,Robert Ludlum,Matt Damon
tt0372183,The Bourne Supremacy,2004,108,Action,Paul Greengrass,Tony Gilroy,Matt Damon
tt0372183,The Bourne Supremacy,2004,108,Mystery,Paul Greengrass,Tony Gilroy,Matt Damon
tt0372183,The Bourne Supremacy,2004,108,Thriller,Paul Greengrass,Tony Gilroy,Matt Damon
tt0440963,The Bourne Ultimatum,2007,115,Action,Paul Greengrass,Robert Ludlum,Matt Damon
tt0440963,The Bourne Ultimatum,2007,115,Mystery,Paul Greengrass,Robert Ludlum,Matt Damon
tt0440963,The Bourne Ultimatum,2007,115,Thriller,Paul Greengrass,Robert Ludlum,Matt Damon
tt0440963,The Bourne Ultimatum,2007,115,Action,Paul Greengrass,George Nolfi,Matt Damon
tt0440963,The Bourne Ultimatum,2007,115,Mystery,Paul Greengrass,George Nolfi,Matt Damon
tt0440963,The Bourne Ultimatum,2007,115,Thriller,Paul Greengrass,George Nolfi,Matt Damon
tt0440963,The Bourne Ultimatum,2007,115,Action,Paul Greengrass,Tony Gilroy,Matt Damon
tt0440963,The Bourne Ultimatum,2007,115,Mystery,Paul Greengrass,Tony Gilroy,Matt Damon
tt0440963,The Bourne Ultimatum,2007,115,Thriller,Paul Greengrass,Tony Gilroy,Matt Damon
tt0440963,The Bourne Ultimatum,2007,115,Action,Paul Greengrass,Scott Z. Burns,Matt Damon
