tconst,originalTitle,startYear,runtimeMinutes,Genre,Director,Writer,Actor
Id,1.24,0.0,0,0,0,0.51,0.0,0.41
Name,0.0,0.0,0,0,0,0.0,0.0,0.0
Year,0.0,0.0,0,0,0,0.0,0.0,0.0
Release Date,0.0,0.0,0,0,0,0.0,0.0,0.0
Duration,0.0,0.0,0,0,0,0.0,0.0,0.0
newDirector,0.51,0.0,0,0,0,13.840000000000003,0.0,2.92
newCreator,0.0,0.0,0,0,0,0.0,0.0,0.0
newActors,0.41,0.0,0,0,0,2.92,0.0,2.0
newGenre,0.0,0.0,0,0,0,0.0,0.0,0.0
