tconst,originalTitle,startYear,runtimeMinutes,Genre,Director,Writer,Actor
Id,61.4,4.130000000000001,0,0,0,10.029999999999998,0.8999999999999999,0.0
Name,4.130000000000001,59.0,0,0,0,15.339999999999996,0.0,0.0
Year,0.0,0.0,1,0,0,0.0,0.0,0.0
Release Date,1.82,2.94,0,0,0,2.38,0.0,0.0
Duration,0.0,0.0,0,0,0,0.0,0.0,0.0
newDirector,1.3,0.0,0,0,0,300.0,5.0,0.0
newCreator,1.3,0.0,0,0,0,0.0,5.0,0.0
newActors,0.7999999999999998,0.0,0,0,0,0.0,0.0,54.7
newGenre,0.0,0.0,0,0,0,0.0,0.0,0.0
